"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","Industry","Summary Quote",
"YI","111, Inc.","7.91","102095912.45","12907195","2018","Health Care","Medical/Nursing Services","https://www.nasdaq.com/symbol/yi",
"PIH","1347 Property Insurance Holdings, Inc.","5.63","33851861.32","n/a","2014","Finance","Property-Casualty Insurers","https://www.nasdaq.com/symbol/pih",
"PIHPP","1347 Property Insurance Holdings, Inc.","25.25","17675000","n/a","n/a","Finance","Property-Casualty Insurers","https://www.nasdaq.com/symbol/pihpp",
"TURN","180 Degree Capital Corp.","1.91","59442183.42","n/a","n/a","Finance","Finance/Investors Services","https://www.nasdaq.com/symbol/turn",
"FLWS","1-800 FLOWERS.COM, Inc.","18.26","1174444068.82","n/a","1999","Consumer Services","Other Specialty Stores","https://www.nasdaq.com/symbol/flws",
"BCOW","1895 Bancorp of Wisconsin, Inc.","9.4","45840763.8","n/a","2019","Finance","Banks","https://www.nasdaq.com/symbol/bcow",
"FCCY","1st Constitution Bancorp (NJ)","18.66","160993031.28","n/a","n/a","Finance","Savings Institutions","https://www.nasdaq.com/symbol/fccy",
"SRCE","1st Source Corporation","43.76","1123229623.28","n/a","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/srce",
"VNET","21Vianet Group, Inc.","7.15","445287192.35","62277929","2011","Technology","Computer Software: Programming, Data Processing","https://www.nasdaq.com/symbol/vnet",
"TWOU","2U, Inc.","37.99","2396364295.82","n/a","2014","Technology","Computer Software: Prepackaged Software","https://www.nasdaq.com/symbol/twou",
"QFIN","360 Finance, Inc.","16.07","49817000","3100000","2018","Finance","Finance: Consumer Services","https://www.nasdaq.com/symbol/qfin",
"JOBS","51job, Inc.","70.35","2511851604.15","35705069","2004","Technology","Diversified Commercial Services","https://www.nasdaq.com/symbol/jobs",
"JFK","8i Enterprises Acquisition Corp","9.86","56695000","n/a","2019","Finance","Business Services","https://www.nasdaq.com/symbol/jfk",
"JFKKR","8i Enterprises Acquisition Corp","0.2","0","n/a","2019","Finance","Business Services","https://www.nasdaq.com/symbol/jfkkr",
"JFKKU","8i Enterprises Acquisition Corp","10.16","50800000","n/a","2019","Finance","Business Services","https://www.nasdaq.com/symbol/jfkku",
"JFKKW","8i Enterprises Acquisition Corp","0.1399","804425","n/a","2019","Finance","Business Services","https://www.nasdaq.com/symbol/jfkkw",
"EGHT","8x8 Inc","24.13","2323414141.58","n/a","n/a","Technology","EDP Services","https://www.nasdaq.com/symbol/eght",
"AAON","AAON, Inc.","45.39","2365511696.79","n/a","n/a","Capital Goods","Industrial Machinery/Components","https://www.nasdaq.com/symbol/aaon",
"ABEO","Abeona Therapeutics Inc.","5.44","267441535.68","n/a","n/a","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/abeo",
"ABEOW","Abeona Therapeutics Inc.","1.36","0","n/a","n/a","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/abeow",
"ABIL","Ability Inc.","1.3","10450779.3","n/a","2014","Capital Goods","Telecommunications Equipment","https://www.nasdaq.com/symbol/abil",
"ABMD","ABIOMED, Inc.","261.92","11819069019.68","n/a","n/a","Health Care","Medical/Dental Instruments","https://www.nasdaq.com/symbol/abmd",
"AXAS","Abraxas Petroleum Corporation","0.9551","160809213.7531","n/a","n/a","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/axas",
"ACIU","AC Immune SA","5.06","341865404.98","n/a","2016","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/aciu",
"ACIA","Acacia Communications, Inc.","46.6","1891905990.6","n/a","2016","Technology","Semiconductors","https://www.nasdaq.com/symbol/acia",
"ACTG","Acacia Research Corporation","3.12","156200556.72","n/a","n/a","Miscellaneous","Multi-Sector Companies","https://www.nasdaq.com/symbol/actg",
"ACHC","Acadia Healthcare Company, Inc.","32.22","2849741332.56","n/a","n/a","Health Care","Medical Specialities","https://www.nasdaq.com/symbol/achc",
"ACAD","ACADIA Pharmaceuticals Inc.","23.99","3451738320.19","n/a","2004","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/acad",
"ACAM","Acamar Partners Acquisition Corp.","9.75","372417357","n/a","2019","Finance","Business Services","https://www.nasdaq.com/symbol/acam",
"ACAMU","Acamar Partners Acquisition Corp.","10","0","n/a","2019","Finance","Business Services","https://www.nasdaq.com/symbol/acamu",
"ACAMW","Acamar Partners Acquisition Corp.","1","0","n/a","2019","Finance","Business Services","https://www.nasdaq.com/symbol/acamw",
"ACST","Acasti Pharma, Inc.","0.8998","70303834.0532","n/a","n/a","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/acst",
"AXDX","Accelerate Diagnostics, Inc.","18.91","1029836500.99","n/a","n/a","Capital Goods","Biotechnology: Laboratory Analytical Instruments","https://www.nasdaq.com/symbol/axdx",
"ACCP","Accelerated Pharma, Inc.","n/a","0","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/accp",
"XLRN","Acceleron Pharma Inc.","39.89","2101634168.6","n/a","2013","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://www.nasdaq.com/symbol/xlrn",
"ARAY","Accuray Incorporated","3.71","326569396.16","n/a","2007","Health Care","Medical/Dental Instruments","https://www.nasdaq.com/symbol/aray",
"ACRX","AcelRx Pharmaceuticals, Inc.","2.59","204387700.3","n/a","2011","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/acrx",
"ACER","Acer Therapeutics Inc.","17.89","180462924.07","n/a","n/a","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/acer",
"ACHV","Achieve Life Sciences, Inc. ","4.21","28905649.5","n/a","n/a","Health Care","Biotechnology: In Vitro & In Vivo Diagnostic Substances","https://www.nasdaq.com/symbol/achv",
"ACHN","Achillion Pharmaceuticals, Inc.","2.78","385656406.28","n/a","2006","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/achn",
"ACIW","ACI Worldwide, Inc.","31.46","3478317925.94","n/a","n/a","Technology","Computer Software: Prepackaged Software","https://www.nasdaq.com/symbol/aciw",
"ACRS","Aclaris Therapeutics, Inc.","4.68","193154401.44","n/a","2015","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/acrs",
"ACMR","ACM Research, Inc.","19.26","309932998.56","n/a","2017","Technology","Industrial Machinery/Components","https://www.nasdaq.com/symbol/acmr",
"ACNB","ACNB Corporation","35.7","251673647.4","n/a","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/acnb",
"ACOR","Acorda Therapeutics, Inc.","9.29","446844865.95","n/a","2006","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://www.nasdaq.com/symbol/acor",
"ACTT","Act II Global Acquisition Corp.","9.7","291000000","n/a","2019","Finance","Business Services","https://www.nasdaq.com/symbol/actt",
"ACTTU","Act II Global Acquisition Corp.","10.07","0","n/a","2019","Finance","Business Services","https://www.nasdaq.com/symbol/acttu",
"ACTTW","Act II Global Acquisition Corp.","0.71","15442500","n/a","2019","Finance","Business Services","https://www.nasdaq.com/symbol/acttw",
"ATVI","Activision Blizzard, Inc","43.37","33221711403.03","n/a","n/a","Technology","Computer Software: Prepackaged Software","https://www.nasdaq.com/symbol/atvi",
